version,suite,task_id,algorithm,n_files,n_stages_total,mean_u_target,mean_u_ref_used,mean_U_safe_ref,mean_u_tr_cap,mean_cap_util_ratio,n_feasibility_bumped,frac_feasibility_bumped,n_budget_saturated,frac_budget_saturated
pre_major689,advanced,dense_chain_cost_1,safe_target_expected_sarsa,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_1,safe_target_q,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,advanced,dense_chain_cost_1,safe_target_q_polyak,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0000,dense_chain_cost_0,safe_q_stagewise,5,100,4.215759e-04,1.737444e-04,8.635903e-03,2.258301e-04,0.022726,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0000,dense_chain_cost_1,safe_q_stagewise,5,100,4.215759e-04,1.737444e-04,8.635903e-03,2.258301e-04,0.022726,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0050,dense_chain_cost_0,safe_q_stagewise,5,100,4.367636e-03,2.916527e-03,8.635903e-03,2.916527e-03,0.306820,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0050,dense_chain_cost_1,safe_q_stagewise,5,100,4.367636e-03,2.916527e-03,8.635903e-03,2.916527e-03,0.306820,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0100,dense_chain_cost_0,safe_q_stagewise,5,100,8.313696e-03,5.685902e-03,8.635903e-03,5.685902e-03,0.593481,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0100,dense_chain_cost_1,safe_q_stagewise,5,100,8.313696e-03,5.685902e-03,8.635903e-03,5.685902e-03,0.593481,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0200,dense_chain_cost_0,safe_q_stagewise,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,diagnostic_sweep_4a2_umax_0.0200,dense_chain_cost_1,safe_q_stagewise,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,translation_4a2,dense_chain_cost_0,safe_expected_sarsa_stagewise,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,translation_4a2,dense_chain_cost_0,safe_q_stagewise,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,translation_4a2,dense_chain_cost_0,safe_vi,3,60,0.016205,8.576278e-03,8.652335e-03,0.011225,0.893358,54,0.900000,7,0.116667
pre_major689,translation_4a2,dense_chain_cost_1,safe_expected_sarsa_stagewise,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,translation_4a2,dense_chain_cost_1,safe_q_stagewise,5,100,0.016206,8.559697e-03,8.635903e-03,0.011225,0.893343,90,0.900000,11,0.110000
pre_major689,translation_4a2,dense_chain_cost_1,safe_vi,3,60,0.016205,8.576278e-03,8.652335e-03,0.011225,0.893358,54,0.900000,7,0.116667
pre_major689,ALL,ALL,ALL,146,2920,0.013773,7.402644e-03,8.636578e-03,9.523304e-03,0.773001,2628,0.900000,322,0.110274
