idx,family,total_score,predicted_mean_abs_u_informative,predicted_median_abs_u_informative,predicted_frac_informative_ge_5e3,mean_abs_target_gap_norm,informative_stage_frac,mean_abs_u_pred,frac_u_ge_5e3,error
99,chain_catastrophe,-0.92776950,0.00095435,0.00099868,0.00000000,0.00036403,0.70000000,0.00093049,0.00000000,
100,chain_catastrophe,-2.78493064,0.00016376,0.00000000,0.00000000,0.00000407,0.05000000,0.00070892,0.00000000,
101,chain_catastrophe,-1.09245670,0.00145493,0.00151687,0.00000000,0.00012413,0.36666667,0.00107626,0.00000000,
102,chain_catastrophe,-1.45311599,0.00091113,0.00096210,0.00000000,0.00013748,0.45454545,0.00074862,0.00000000,
103,chain_catastrophe,-1.08602848,0.00093438,0.00098276,0.00000000,0.00032002,0.62000000,0.00088076,0.00000000,
104,chain_catastrophe,-3.00642909,0.00000000,0.00000000,0.00000000,0.00000037,0.00000000,0.00030806,0.00000000,
105,chain_catastrophe,-1.35990438,0.00140161,0.00140173,0.00000000,0.00007440,0.23333333,0.00092921,0.00000000,
106,chain_catastrophe,-1.70560558,0.00085268,0.00089654,0.00000000,0.00009177,0.33333333,0.00063493,0.00000000,
107,chain_catastrophe,-1.08035144,0.00094167,0.00098849,0.00000000,0.00031850,0.62000000,0.00088019,0.00000000,
108,grid_hazard,-1.32923801,0.00111094,0.00116585,0.00000000,0.00016981,0.40000000,0.00075657,0.00000000,
109,grid_hazard,-1.36915554,0.00106825,0.00113016,0.00000000,0.00016785,0.40000000,0.00073173,0.00000000,
110,grid_hazard,-1.75257201,0.00075243,0.00071368,0.00000000,0.00012499,0.35000000,0.00052074,0.00000000,
111,grid_hazard,-1.75257201,0.00075243,0.00071368,0.00000000,0.00012499,0.35000000,0.00052074,0.00000000,
112,grid_hazard,-1.32344088,0.00111571,0.00116664,0.00000000,0.00017221,0.40000000,0.00076061,0.00000000,
113,grid_hazard,-1.36415258,0.00107209,0.00112997,0.00000000,0.00017032,0.40000000,0.00073554,0.00000000,
114,grid_hazard,-1.74948829,0.00075415,0.00071359,0.00000000,0.00012748,0.35000000,0.00052456,0.00000000,
115,grid_hazard,-1.74948829,0.00075415,0.00071359,0.00000000,0.00012748,0.35000000,0.00052456,0.00000000,
116,grid_hazard,-1.31831380,0.00111964,0.00116647,0.00000000,0.00017475,0.40000000,0.00076454,0.00000000,
117,grid_hazard,-1.35820349,0.00107645,0.00112979,0.00000000,0.00017358,0.40000000,0.00074127,0.00000000,
118,grid_hazard,-1.74627918,0.00075587,0.00071351,0.00000000,0.00013017,0.35000000,0.00052837,0.00000000,
119,grid_hazard,-1.74627918,0.00075587,0.00071351,0.00000000,0.00013017,0.35000000,0.00052837,0.00000000,
120,grid_hazard,-1.80836176,0.00094861,0.00091881,0.00000000,0.00008989,0.20000000,0.00059976,0.00000000,
121,grid_hazard,-1.85038311,0.00090230,0.00084434,0.00000000,0.00008986,0.20000000,0.00058392,0.00000000,
122,grid_hazard,-1.81904295,0.00103022,0.00099230,0.00000000,0.00006713,0.15000000,0.00041614,0.00000000,
123,grid_hazard,-1.81904295,0.00103022,0.00099230,0.00000000,0.00006713,0.15000000,0.00041614,0.00000000,
124,grid_hazard,-1.78950880,0.00096758,0.00092088,0.00000000,0.00009258,0.20000000,0.00060814,0.00000000,
125,grid_hazard,-1.83551265,0.00091697,0.00084474,0.00000000,0.00009242,0.20000000,0.00058862,0.00000000,
126,grid_hazard,-1.77128160,0.00108091,0.00114475,0.00000000,0.00007004,0.15000000,0.00042365,0.00000000,
127,grid_hazard,-1.77128160,0.00108091,0.00114475,0.00000000,0.00007004,0.15000000,0.00042365,0.00000000,
128,grid_hazard,-1.77061291,0.00098636,0.00092068,0.00000000,0.00009563,0.20000000,0.00061577,0.00000000,
129,grid_hazard,-1.82173533,0.00093022,0.00084326,0.00000000,0.00009528,0.20000000,0.00059416,0.00000000,
130,grid_hazard,-1.74692537,0.00110613,0.00122075,0.00000000,0.00007248,0.15000000,0.00042766,0.00000000,
131,grid_hazard,-1.74692537,0.00110613,0.00122075,0.00000000,0.00007248,0.15000000,0.00042766,0.00000000,
132,grid_hazard,-1.80190451,0.00105524,0.00099145,0.00000000,0.00005808,0.15000000,0.00052837,0.00000000,
133,grid_hazard,-1.82442713,0.00103035,0.00099262,0.00000000,0.00005815,0.15000000,0.00051207,0.00000000,
134,grid_hazard,-1.80989186,0.00105563,0.00106863,0.00000000,0.00004447,0.15000000,0.00037239,0.00000000,
135,grid_hazard,-1.80989186,0.00105563,0.00106863,0.00000000,0.00004447,0.15000000,0.00037239,0.00000000,
136,grid_hazard,-1.75407062,0.00110630,0.00114486,0.00000000,0.00006058,0.15000000,0.00053651,0.00000000,
137,grid_hazard,-1.76541133,0.00109347,0.00118286,0.00000000,0.00006105,0.15000000,0.00052089,0.00000000,
138,grid_hazard,-1.76239734,0.00110619,0.00122085,0.00000000,0.00004716,0.15000000,0.00037986,0.00000000,
139,grid_hazard,-1.76239734,0.00110619,0.00122085,0.00000000,0.00004716,0.15000000,0.00037986,0.00000000,
140,grid_hazard,-1.70622343,0.00115712,0.00129676,0.00000000,0.00006345,0.15000000,0.00054341,0.00000000,
141,grid_hazard,-1.71737157,0.00114433,0.00133483,0.00000000,0.00006417,0.15000000,0.00052953,0.00000000,
142,grid_hazard,-1.71436379,0.00115706,0.00137306,0.00000000,0.00005026,0.15000000,0.00038783,0.00000000,
143,grid_hazard,-1.71436379,0.00115706,0.00137306,0.00000000,0.00005026,0.15000000,0.00038783,0.00000000,
144,regime_shift,-3.00665684,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
145,regime_shift,-2.11977251,0.00050994,0.00000000,0.02375000,0.00002108,0.13333333,0.00073960,0.03333333,
146,regime_shift,-2.33216982,0.00029664,0.00000000,0.03500000,0.00001018,0.05000000,0.00057330,0.02500000,
147,regime_shift,-2.31399340,0.00034506,0.00000000,0.02125000,0.00001441,0.12121212,0.00058755,0.03030303,
148,regime_shift,-2.75680810,0.00010662,0.00000000,0.01000000,0.00000444,0.04000000,0.00043288,0.02000000,
149,regime_shift,-2.71360175,0.00014458,0.00000000,0.01250000,0.00000391,0.02985075,0.00035931,0.01492537,
150,taxi_bonus,-1.93945387,0.00081729,0.00072875,0.00000000,0.00007033,0.20000000,0.00043276,0.00000000,
151,taxi_bonus,-1.93945387,0.00081729,0.00072875,0.00000000,0.00007033,0.20000000,0.00043276,0.00000000,
152,taxi_bonus,-1.90063484,0.00085778,0.00072875,0.00000000,0.00007376,0.20000000,0.00043276,0.00000000,
153,taxi_bonus,-1.90063484,0.00085778,0.00072875,0.00000000,0.00007376,0.20000000,0.00043276,0.00000000,
154,taxi_bonus,-1.80990885,0.00094809,0.00089227,0.00000000,0.00008815,0.20000000,0.00043276,0.00000000,
155,taxi_bonus,-1.80990885,0.00094809,0.00089227,0.00000000,0.00008815,0.20000000,0.00043276,0.00000000,
