idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,error,cfg
11,dense_chain_cost,0.30305106477376287,0.0010692836824021384,0.05,0.3,0.0005265000872741492,1.1,20,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.1, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.1}"
12,dense_chain_cost,-1.3270056693775734,0.0007477059666280776,0.05,0.1,0.0003681597906747387,2.1,20,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.1, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.1}"
13,dense_chain_cost,0.9548888428963185,0.0013168685233661186,0.10714285714285714,0.2857142857142857,0.0006415513318963143,2.02,30,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 2.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 2.02}"
14,dense_chain_cost,0.5688148746503177,0.0013119953955509727,0.10714285714285714,0.2857142857142857,0.000646007885119007,1.02,30,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 1.02}"
15,dense_chain_cost,0.5881443618185251,0.0013119920568266843,0.10714285714285714,0.2857142857142857,0.0006460062411786213,2.02,30,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.02, ""terminal_reward"": 2.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 2.02}"
16,dense_chain_cost,1.3002398265701909,0.0014653143039847466,0.10714285714285714,0.2857142857142857,0.0007138710711720559,1.05,30,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.05}"
17,dense_chain_cost,0.9209188765412939,0.001318239527330728,0.10714285714285714,0.2857142857142857,0.0006422192569047137,2.05,30,0.95,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 2.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 2.05}"
18,dense_chain_cost,0.7460168881842821,0.0013891228883160147,0.10714285714285714,0.2857142857142857,0.00068398436632819,1.05,30,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 1.05}"
19,dense_chain_cost,0.5593600268659487,0.001311997064913049,0.10714285714285714,0.2857142857142857,0.0006460087070891662,2.05,30,0.97,,"{""family"": ""dense_chain_cost"", ""n_states"": 20, ""step_reward"": -0.05, ""terminal_reward"": 2.0, ""horizon"": 30, ""gamma"": 0.97, ""reward_bound"": 2.05}"
20,shaped_chain,-1.5445722877884023,0.0006489753723144531,0.05,0.1,0.000316167489076272,1.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}"
21,shaped_chain,-1.5350691686265832,0.0006508827209472656,0.05,0.1,0.0003170967102050781,2.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
22,shaped_chain,-1.4668140694784964,0.0006489753723144531,0.05,0.1,0.0003195462493121926,1.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
23,shaped_chain,-1.5221948516796708,0.0006527900695800781,0.05,0.1,0.0003180259313338842,1.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}"
