cell,gamma,method,method_source,n_seeds,mean_arm_AUC,mean_vanilla_AUC,delta,ci_lo,ci_hi,sig
SH-FiniteMemoryRegret,0.95,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,118092.9,106510.0,11582.9,11469.1975,11710.9,✓
DC-Long50,0.6,best_fixed_positive_TAB,fixed_beta_+0.05,10,269373.6436303403,269408.0113521572,-34.36772181693232,-34.36772181693232,-34.36772181693232,✗
DC-Long50,0.6,best_fixed_negative_TAB,fixed_beta_-2.0,10,270202.9317102294,269408.0113521572,794.9203580722096,794.9203580722096,794.9203580722096,✓
DC-Long50,0.6,best_fixed_beta_grid,fixed_beta_-2.0,10,270202.9317102294,269408.0113521572,794.9203580722096,794.9203580722096,794.9203580722096,✓
DC-Long50,0.6,restart_Q_learning,restart_Q_learning,10,269408.0113521572,269408.0113521572,0.0,0.0,0.0,0
DC-Long50,0.6,sliding_window_Q_learning,sliding_window_Q_learning,10,269408.0113521572,269408.0113521572,0.0,0.0,0.0,0
DC-Long50,0.6,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,269408.0113521572,269408.0113521572,0.0,0.0,0.0,0
DC-Long50,0.8,best_fixed_positive_TAB,fixed_beta_+0.05,10,264013.77226541017,264100.12039601896,-86.34813060879242,-86.34813060879242,-86.34813060879242,✗
DC-Long50,0.8,best_fixed_negative_TAB,fixed_beta_-2.0,10,265610.31117463217,264100.12039601896,1510.190778613207,1510.190778613207,1510.190778613207,✓
DC-Long50,0.8,best_fixed_beta_grid,fixed_beta_-2.0,10,265610.31117463217,264100.12039601896,1510.190778613207,1510.190778613207,1510.190778613207,✓
DC-Long50,0.8,restart_Q_learning,restart_Q_learning,10,264100.12039601896,264100.12039601896,0.0,0.0,0.0,0
DC-Long50,0.8,sliding_window_Q_learning,sliding_window_Q_learning,10,264100.12039601896,264100.12039601896,0.0,0.0,0.0,0
DC-Long50,0.8,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,264100.12039601896,264100.12039601896,0.0,0.0,0.0,0
DC-Long50,0.9,best_fixed_positive_TAB,fixed_beta_+0.05,10,260339.96714512972,260520.00051410467,-180.0333689749532,-180.0333689749532,-180.0333689749532,✗
DC-Long50,0.9,best_fixed_negative_TAB,fixed_beta_-2.0,10,262712.44229273533,260520.00051410467,2192.441778630571,2192.441778630571,2192.441778630571,✓
DC-Long50,0.9,best_fixed_beta_grid,fixed_beta_-2.0,10,262712.44229273533,260520.00051410467,2192.441778630571,2192.441778630571,2192.441778630571,✓
DC-Long50,0.9,restart_Q_learning,restart_Q_learning,10,260520.00051410467,260520.00051410467,0.0,0.0,0.0,0
DC-Long50,0.9,sliding_window_Q_learning,sliding_window_Q_learning,10,260520.00051410467,260520.00051410467,0.0,0.0,0.0,0
DC-Long50,0.9,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,260520.00051410467,260520.00051410467,0.0,0.0,0.0,0
DC-Long50,0.95,best_fixed_positive_TAB,fixed_beta_+0.05,10,258277.13817533533,258622.21485393625,-345.07667860088986,-345.07667860088986,-345.07667860088986,✗
DC-Long50,0.95,best_fixed_negative_TAB,fixed_beta_-2.0,10,261459.30122488778,258622.21485393625,2837.0863709515543,2837.0863709515543,2837.0863709515543,✓
DC-Long50,0.95,best_fixed_beta_grid,fixed_beta_-2.0,10,261459.30122488778,258622.21485393625,2837.0863709515543,2837.0863709515543,2837.0863709515543,✓
DC-Long50,0.95,restart_Q_learning,restart_Q_learning,10,258622.21485393625,258622.21485393625,0.0,0.0,0.0,0
DC-Long50,0.95,sliding_window_Q_learning,sliding_window_Q_learning,10,258622.21485393625,258622.21485393625,0.0,0.0,0.0,0
DC-Long50,0.95,tuned_epsilon_greedy_Q_learning,tuned_epsilon_greedy_Q_learning,10,258622.21485393625,258622.21485393625,0.0,0.0,0.0,0
