stage,game,cell,method,beta,gamma,seed,is_baseline,return_AUC,headline_AUC,return_last200,align_last200,q_abs_max_max,divergence_event_sum
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,3,False,55336.0,55336.0,7.43,0.09450000000000001,9.533769202810737,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,6,False,55828.0,55828.0,7.1,0.1155,9.626610642476983,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,1,False,55890.0,55890.0,7.95,0.10825000000000001,9.735582910928207,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,8,False,56300.0,56300.0,7.83,0.10375,9.771407868926797,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,9,False,56552.0,56552.0,8.23,0.10400000000000002,9.62790694878199,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,0,False,55638.0,55638.0,7.97,0.105,9.59901816476209,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.05,0.05,0.95,7,False,55210.0,55210.0,7.65,0.10675000000000001,9.36460650411075,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,2,False,14018.0,14018.0,2.74,0.07800000000000001,70658.32608873761,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,5,False,16758.0,16758.0,2.47,0.07025,73261.2273343682,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,4,False,15102.0,15102.0,1.16,0.0775,73947.25828993862,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,3,False,16848.0,16848.0,0.48,0.07375,70241.87675035026,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,6,False,12648.0,12648.0,1.14,0.084,74633.49061840896,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,1,False,14212.0,14212.0,3.06,0.07150000000000001,75034.81530036897,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,8,False,11736.0,11736.0,1.81,0.06925,76445.7215427931,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,9,False,15426.0,15426.0,3.44,0.07525,74229.41572147865,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,0,False,12624.0,12624.0,2.46,0.07125,72851.51287563154,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.0,1.0,0.95,7,False,16860.0,16860.0,2.08,0.0705,76917.74560372058,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,2,False,7616.0,7616.0,-0.19,0.06375,146070.32525611928,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,5,False,10352.0,10352.0,2.14,0.06075,144110.24718874603,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,4,False,11646.0,11646.0,1.95,0.063,147309.9488078601,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,3,False,12388.0,12388.0,-0.04,0.067,140914.1210376208,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,6,False,7290.0,7290.0,0.48,0.064,148217.03688036016,0
