cell,gamma,source,best_beta,best_method,best_auc_mean,vanilla_auc_mean,paired_d_cohen,paired_bootstrap_auc_advantage_mean,paired_bootstrap_auc_advantage_ci_lower,paired_bootstrap_auc_advantage_ci_upper,align_at_best_beta_final,align_at_best_beta_last200,h1_confirms,h2_evaluable,h2_ratio,h3_confirms
SH-FiniteMemoryRegret,0.8,tier2,-0.35,fixed_beta_-0.35,106697.4,106562.3,0.8236886180822881,134.50966,27.6,242.6,0.93,0.9137000000000001,False,True,0.8990009432994327,True
SH-FiniteMemoryRegret,0.9,tier2,-0.2,fixed_beta_-0.2,106695.9,106567.2,1.2372640889493638,128.25478,-26.1,283.5,0.9100000000000001,0.9161999999999999,False,True,0.8990009432994327,True
SH-FiniteMemoryRegret,0.95,tier2,-1.7,fixed_beta_-1.7,106653.4,106530.9,0.8060837406832466,122.08966,-102.0,318.1,0.9099999999999999,0.89505,False,True,0.8990009432994327,True
SH-HypothesisTesting,0.6,tier3,-2.0,fixed_beta_-2.0,83936.8,82913.7,2.245799045064238,1025.485715,514.0,1471.4,0.6,0.5913999999999999,False,False,,True
SH-HypothesisTesting,0.8,tier3,-2.0,fixed_beta_-2.0,83496.1,82969.2,1.1072556614297078,525.90074,-3.5,1152.1,0.72,0.7650499999999999,False,False,,True
SH-HypothesisTesting,0.9,tier3,-2.0,fixed_beta_-2.0,83488.5,82887.7,1.9451448717664588,598.504405,231.3,967.1,0.8,0.8411,False,False,,True
SH-HypothesisTesting,0.95,tier1,-1.7,fixed_beta_-1.7,83407.3,82343.9,2.2444466157147835,1062.5481825,700.49125,1382.1,0.8949999999999999,0.87575,False,False,,True
SH-SmoothedFP,0.6,tier3,-2.0,fixed_beta_-2.0,66751.7,66651.2,0.6232227081160038,100.42134,-85.7,304.1,0.5999999999999999,0.6361,False,False,,True
SH-SmoothedFP,0.8,tier3,-2.0,fixed_beta_-2.0,66852.9,66706.4,0.7923305732237204,146.599065,-28.6,289.7,0.68,0.65805,False,False,,True
SH-SmoothedFP,0.9,tier3,-2.0,fixed_beta_-2.0,66745.1,66686.0,0.261131885077907,57.02749,-266.7,317.6,0.65,0.71585,False,False,,True
SH-SmoothedFP,0.95,tier1,-0.5,fixed_beta_-0.5,66729.7,66642.65,0.2912520183615277,86.5310225,-8.701249999999998,194.3,0.8949999999999999,0.8982750000000002,False,False,,True
SO-AntiCoordination,0.6,tier3,-2.0,fixed_beta_-2.0,133302.2,133194.0,0.34040965493012193,107.49907,-17.4,233.8,0.85,0.8632,False,False,,True
SO-AntiCoordination,0.8,tier3,2.0,fixed_beta_+2.0,133324.4,133215.2,0.4822396574682486,109.439445,-97.5,307.1349999999882,0.06000000000000001,0.05889999999999999,False,False,,False
SO-AntiCoordination,0.9,tier3,-2.0,fixed_beta_-2.0,133294.9,133261.4,0.13449925983120944,34.110015,-117.9,184.9,0.86,0.8859499999999999,False,False,,True
SO-AntiCoordination,0.95,tier1,-1.35,fixed_beta_-1.35,133398.3,133354.6,0.1577277612286838,43.5451825,-44.801249999999996,129.95124999999987,0.9099999999999999,0.9034500000000001,False,False,,True
SO-BiasedPreference,0.6,tier3,0.0,vanilla,109582.2,109582.2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
SO-BiasedPreference,0.8,tier3,0.0,vanilla,108523.6,108523.6,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
SO-BiasedPreference,0.9,tier3,0.0,vanilla,107672.5,107672.5,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
SO-BiasedPreference,0.95,tier1,-0.1,fixed_beta_-0.1,108406.7,108182.45,0.41958995221466555,224.0512575,-106.4075,578.7599999999991,0.9049999999999999,0.9011249999999998,False,False,,True
SO-Coordination,0.6,tier3,1.0,fixed_beta_+1.0,66815.5,66810.1,0.020827452240748067,5.20002,-99.8,129.9,0.13,0.0957,False,False,,False
SO-Coordination,0.8,tier3,-1.0,fixed_beta_-1.0,66816.8,66731.0,0.5359337144909214,86.19111,-15.2,186.8,0.76,0.7581000000000001,False,False,,True
