stage,game,subcase,method,beta,gamma,seed,headline_metric,AUC,return_AUC,bellman_residual_AUC,align_final,align_last200,q_abs_max_final,q_abs_max_max,divergence_event_sum,return_final,return_last200,diverged
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,2,cumulative_return_auc,521351.0,521351.0,147284.95805697274,0.9,0.9002500000000002,9.904524960757193,10.736186591996521,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,3,cumulative_return_auc,521464.5,521464.5,146756.1299316713,0.9,0.9007500000000002,10.114459626836048,10.603761839172844,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,4,cumulative_return_auc,520540.5,520540.5,149451.69770647754,0.9,0.9015000000000001,9.591808054550441,10.38587370415651,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,5,cumulative_return_auc,522889.5,522889.5,145961.85140153975,0.9,0.9020000000000001,10.702263023036577,10.885314123797139,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,6,cumulative_return_auc,522457.5,522457.5,146923.14777965855,0.9,0.9012500000000003,9.763330234633019,10.821450451459711,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,7,cumulative_return_auc,521729.5,521729.5,147466.60945908754,0.9,0.9017500000000003,10.807716078053181,10.868142423173065,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,8,cumulative_return_auc,520927.5,520927.5,146925.18088332438,0.9,0.9025000000000003,10.376900424157478,10.376900424157478,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-1.0,-1.0,0.95,9,cumulative_return_auc,520002.0,520002.0,146304.05116036034,0.9,0.9017500000000002,10.464073273792689,10.80133323375775,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,0,cumulative_return_auc,520816.5,520816.5,148423.6734654371,0.9,0.9007500000000002,10.400565869762051,10.779866494186289,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,1,cumulative_return_auc,522700.0,522700.0,146066.05393959588,0.9,0.9015000000000002,11.30865504615664,11.387525974334958,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,2,cumulative_return_auc,521357.0,521357.0,146936.86360425176,0.9,0.9002500000000002,10.547139124530467,10.94185661197076,0,57.0,58.575,False
